x,y,u,v
41200.0,0.0,0.01,-0.04
41300.0,0.0,0.0,-0.04
41400.0,0.0,-0.0,-0.04
41500.0,0.0,-0.0,-0.04
41600.0,0.0,-0.0,-0.04
41700.0,0.0,-0.01,-0.04
41800.0,0.0,-0.01,-0.04
41900.0,0.0,-0.02,-0.04
42000.0,0.0,-0.02,-0.04
42100.0,0.0,-0.03,-0.04
42200.0,0.0,-0.03,-0.04
42300.0,0.0,-0.03,-0.04
42400.0,0.0,-0.03,-0.04
42500.0,0.0,-0.04,-0.04
42600.0,0.0,-0.04,-0.04
42700.0,0.0,-0.04,-0.04
42800.0,0.0,-0.04,-0.04
42900.0,0.0,-0.04,-0.04
43000.0,0.0,-0.04,-0.04
43100.0,0.0,-0.04,-0.04
43200.0,0.0,-0.04,-0.04
43300.0,0.0,-0.04,-0.04
43400.0,0.0,-0.04,-0.04
43500.0,0.0,-0.04,-0.04
43600.0,0.0,-0.03,-0.04
43700.0,0.0,-0.04,-0.04
43800.0,0.0,-0.03,-999.0
43900.0,0.0,-0.03,-999.0
44000.0,0.0,-0.03,-999.0
44100.0,0.0,-0.03,-999.0
44200.0,0.0,-0.03,-999.0
44300.0,0.0,-0.03,-999.0
44400.0,0.0,-0.03,-999.0
44500.0,0.0,-0.03,-999.0
44600.0,0.0,-0.03,-999.0
44700.0,0.0,-0.03,-999.0
44800.0,0.0,-0.03,-999.0
44900.0,0.0,-0.04,-999.0
45000.0,0.0,-0.04,-999.0
45100.0,0.0,-0.03,-999.0
45200.0,0.0,-0.03,-999.0
45300.0,0.0,-0.02,-999.0
45400.0,0.0,-0.03,-999.0
45500.0,0.0,-0.03,-999.0
45600.0,0.0,-0.03,-999.0
45700.0,0.0,-0.03,-999.0
45800.0,0.0,-0.03,-999.0
45900.0,0.0,-0.03,-999.0
46000.0,0.0,-0.03,-999.0
46100.0,0.0,-0.03,-999.0
46200.0,0.0,-0.03,-999.0
46300.0,0.0,-0.03,-999.0
46400.0,0.0,-0.03,-999.0
46500.0,0.0,-0.03,-999.0
46600.0,0.0,-0.03,-999.0
46700.0,0.0,-0.03,-999.0
46800.0,0.0,-0.03,-999.0
46900.0,0.0,-0.03,-999.0
47000.0,0.0,-0.03,-999.0
47100.0,0.0,-0.03,-999.0
